,OS,LA_MMS,LA_rsFC,Subject_left,Subject_right
302,-0.25705760933918276,-0.14142701112324466,0.2365231542946433,6,2
303,-0.25705760933918276,0.1347481319585814,-0.5873214545059199,7,2
304,-0.25705760933918276,0.30806739070791705,0.11621897873142042,8,2
305,-1.0799069670692483,0.1772040651279123,-0.37211052056531735,9,2
306,-0.25705760933918276,0.21256330990270106,0.0965071985071096,10,2
307,-0.25705760933918276,0.0670002500590916,0.3399180648978205,11,2
308,-0.25705760933918276,0.16974819257436727,0.2060960546376029,12,2
309,-1.3541900863126035,0.22687115594646592,-0.05425349967992538,13,2
310,-0.25705760933918276,0.22764140387961657,0.39481061584199934,14,2
311,-0.25705760933918276,0.3783543662667532,0.20637645987878123,15,2
312,-0.25705760933918276,0.23035210615825408,0.37063703741830223,16,2
313,-0.25705760933918276,0.30478146762917846,0.03824838715366088,17,2
314,-0.25705760933918276,-0.12215742489289501,0.4879884297067297,18,2
315,-0.25705760933918276,-3.522667634833516,0.13495242767181762,19,2
316,-0.25705760933918276,0.3079786645410741,0.33109722001723585,20,2
317,-1.0799069670692483,0.21526779207304386,0.19448076642084078,21,2
318,-0.25705760933918276,0.15342037584774815,-0.36156560864144816,22,2
319,-0.8056238478258931,-0.33071466841888914,0.14569187090883384,23,2
320,-0.25705760933918276,0.35782964549205776,0.32854703240219557,24,2
321,2.2114904638510136,0.4027751091769747,-3.236487290668087,4,3
322,1.754351931778755,0.49415302528257893,0.5021449811001182,5,3
323,-0.25705760933918276,0.23463428263334654,0.6308287062210893,6,3
324,2.485773583094369,0.38333024273014227,-0.41825983813060613,7,3
325,-0.25705760933918276,0.33549455240651604,0.3487507619202143,8,3
