,SO,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
199,-0.06439422409468612,0.7356944788738904,0.68093867872172,-0.12108234782868721,-0.07322570590129729,12,14
200,0.5762554239352783,-0.06675215252459933,0.5225298286480773,-0.25758519783507794,-0.08942661870508628,12,15
201,0.9485618108852598,-0.22265142260485027,0.16025911084489453,-0.2841049610781271,-0.12647705059551995,12,16
202,-1.4969303868510004,-0.2609347125140005,0.3073515266301129,-0.29061726728734194,-0.11143350093824289,12,17
203,1.8575547199952074,0.7394068365483586,0.5632155990579678,-0.12045084489381308,-0.08526557203086838,12,18
204,0.9485618108852598,-0.4482611834417644,0.4358217143008484,-0.32248305893346685,-0.09829449824128245,12,19
205,1.8575547199952074,0.02682557688240028,0.41842760832893405,-0.24166684730387733,-0.10007344174109223,12,20
206,-0.8914693632859182,-0.06639137004223951,0.3596797833126447,-0.25752382573237664,-0.10608174487604138,12,21
207,1.857554719995207,0.6300414571421753,-0.7192245276292764,-0.1390548060755764,-0.21642428354781507,12,22
208,-0.4118352777159389,0.30870953626113007,0.30033701546551156,-0.19371603995956388,-0.11215089446572624,12,23
209,,-0.6646405345916678,0.21162696422410052,-0.35929098728506315,-0.1212235176450096,12,24
210,-0.7563749319960961,0.13794510519716724,0.02230817525454617,-0.22276449079463911,-0.14058567569860825,13,14
211,0.6275864838067241,0.30186240602830927,-0.12574991112143502,-0.1948807937943654,-0.15572798716768343,13,15
212,1.3032527345703957,0.3091835316444856,-0.19120125633355478,-0.19363540940023916,-0.1624218779204999,13,16
213,-1.6117101260806654,0.2640779570627832,0.07222254467530605,-0.20130824300768768,-0.1354807945870674,13,17
214,1.6655575456588398,0.21471597017361055,0.05209695636593099,-0.2097051277707369,-0.1375390943674999,13,18
215,1.3032527345703955,0.06625085643436487,-0.2824165177293186,-0.23496027915271844,-0.17175071589615964,13,19
216,1.6655575456588398,0.4954295231384525,-0.5466128578178997,-0.16195341629761306,-0.198770808945667,13,20
217,-0.7344016634944311,0.4154443625348206,-0.8406363284524735,-0.17555955775724708,-0.22884140542940934,13,21
218,1.6655575456588398,0.854319842106442,-1.3702244233573713,-0.10090318633595807,-0.2830038499108276,13,22
219,0.3108850053221409,0.32529460857127146,-0.38445331683397516,-0.1908947811377144,-0.18218630257142288,13,23
220,,-0.585641190704727,-0.12591046126074082,-0.34585254145295985,-0.15574440707608073,13,24
221,-0.9396882776403382,-1.5728135122281062,0.9384490879928059,-0.5137787686470641,-0.04688940155511079,14,15
222,-1.7943459938482118,-2.5921226322367192,0.4885565845833739,-0.6871717327077314,-0.09290115667754317,14,16
223,0.9142142779200234,-2.6246959688868703,0.7085008660288649,-0.6927127283490417,-0.07040684449906398,14,17
224,0.37325280267814015,1.1868580697855702,0.9947692098443642,-0.04433566640610809,-0.04112938636156771,14,18
225,-0.7563749319960961,-2.5544338989746946,0.6496124659560805,-0.680760565532126,-0.0764295246352451,14,19
226,0.37325280267814015,-2.146091139402847,0.8306129941633316,-0.611298063877793,-0.05791809819939764,14,20
227,-0.06439422409468612,-2.360269325254041,0.49741125953436816,-0.6477315556938588,-0.09199556449175139,14,21
228,0.3732528026781399,-0.6012688913845403,-0.43008669850750025,-0.34851094339319055,-0.1868533551830106,14,22
229,-1.963173621710743,-0.40086577361652415,0.4399581963318033,-0.31442070529495625,-0.09787144874204812,14,23
230,,-1.1234801231786016,0.43840172850193054,-0.43734341979228264,-0.09803063302740811,14,24
